0	4.43295
0.1	5.60846
0.2	6.39752
0.3	6.90624
0.4	5.38544
0.5	7.13253
0.6	5.83339
0.7	7.51585
0.8	6.37922
0.9	5.35941
1	7.89883
1.1	6.36613
1.2	8.23152
1.3	8.36284
1.4	6.29839
1.5	6.06761
1.6	8.43865
1.7	6.1704
1.8	6.89729
1.9	8.67826
2	9.36523
2.1	9.57291
2.2	9.17129
2.3	8.72984
2.4	8.04028
2.5	9.10958
2.6	8.12228
2.7	8.85393
2.8	8.15457
2.9	8.45161
3	10.0063
3.1	8.97592
3.2	9.35335
3.3	8.89954
3.4	8.7139
3.5	11.5467
3.6	11.4168
3.7	9.21553
3.8	12.1499
3.9	11.779
4	12.424
4.1	11.5078
4.2	11.454
4.3	12.3603
4.4	11.4922
4.5	10.3864
4.6	12.408
4.7	10.6071
4.8	13.1866
4.9	13.1107
5	12.8712
5.1	12.533
5.2	14.1938
5.3	13.9433
5.4	12.5896
5.5	12.7957
5.6	14.3514
5.7	12.4342
5.8	14.2216
5.9	12.9957
6	14.6312
6.1	13.8498
6.2	14.9245
6.3	14.2921
6.4	14.165
6.5	14.4682
6.6	16.3444
6.7	14.8057
6.8	13.9102
6.9	14.9572
7	16.3559
7.1	16.778
7.2	15.048
7.3	16.5565
7.4	16.3917
7.5	16.955
7.6	16.7068
7.7	16.2804
7.8	16.709
7.9	18.1644
8	16.1065
8.1	15.8614
8.2	18.4348
8.3	17.5543
8.4	18.7161
8.5	18.6518
8.6	16.7337
8.7	18.4636
8.8	19.5186
8.9	17.204
9	18.9441
9.1	18.3914
9.2	19.9772
9.3	17.7474
9.4	18.0225
9.5	20.035
9.6	20.7964
9.7	20.279
9.8	21.145
9.9	20.8649
